human_score,model_score,sentence1,sentence2
2.8,0.89609075,Bir adam gitar çalıyor.,Bir kız gitar çalıyor.
4.6,0.8949034,Bir panda kaydıraktan aşağı kayıyor.,Bir panda slayt aşağı kayar.
3.0,0.5276804,Bir kadın bir şeyler yiyor.,Bir kadın et yiyor.
5.0,1.0,Bir kadın patates soyuyor.,Bir kadın patates soyuyor.
4.8,0.71203214,Çocuk bisikletten düştü.,Bir çocuk bisikletten düşüyor.
5.0,0.87611127,Kadın flüt çalıyor.,Bir kadın flüt çalıyor.
4.2,1.0000001,Bir tavşan kartaldan kaçıyor.,Bir tavşan kartaldan kaçıyor.
4.2,0.88618404,Kadın ekmekli domuz pirzolası kızartıyor.,Bir kadın ekmekli domuz pirzolası pişiriyor.
4.0,0.95781046,Bir kız uçurtma uçursuyor.,Koşan bir kız uçurtma uçursuyor.
4.0,0.96476954,Bir adam mekanik boğaya biniyor.,Bir adam mekanik boğaya bindi.
4.909,0.8764383,Adam gitar çalıyor.,Bir adam gitar çalıyor.
3.0,0.97009367,Bir kadın diğer kadınlarla dans ediyor ve şarkı söylüyor.,Bir kadın yağmurda dans ediyor ve şarkı söylüyor.
2.4,0.8818163,Bir adam çörek dilimliyor.,Bir adam soğanı dilimliyor.
4.2,1.0,Bir adam tavaya yağ döküyor.,Bir adam tavaya yağ döküyor.
3.4,0.9203591,Bir aslan insanlarla oynuyor.,Bir aslan iki adamla oynuyor.
5.0,0.83241487,Bir köpek kaykaya biner.,Bir köpek kaykay sürüyor.
3.75,0.7747383,Birisi heykel oyuyor.,Bir adam heykel oyuyor.
2.75,0.86671877,Bir kadın soğanı dilimliyor.,Bir adam soğan kesiyor.
5.0,1.0,Bir kadın karides soyuyor.,Bir kadın karides soyuyor.
4.0,0.9830796,Bir kadın balık kızartıyor.,Bir kadın balık pişiriyor.
3.6,0.9772477,Bir kadın elektro gitar çalıyor.,Bir kadın gitar çalıyor.
1.6,0.7958363,Yavru bir kaplan topla oynuyor.,Bir bebek bir bebekle oynuyor.
1.75,0.53256994,Bir insan domatesi dilimliyor.,Bir insan biraz et dilimliyor.
5.0,0.95805436,Bir insan soğan keser.,Bir insan soğan kesiyor.
1.0,0.9133491,Bir adam piyano çalıyor.,Bir kadın keman çalıyor.
1.0,0.86057454,Bir kadın flüt çalıyor.,Bir adam gitar çalıyor.
2.375,0.963764,Bir adam patates kesiyor.,Bir adam havuç kesiyor.
3.8,0.9999999,Bir çocuk gitar çalıyor.,Bir çocuk gitar çalıyor.
3.2,0.94072247,Bir çocuk gitar çalıyor.,Bir adam gitar çalıyor.
3.2,0.94072247,Bir adam gitar çalıyor.,Bir çocuk gitar çalıyor.
4.4,0.8617511,Küçük bir çocuk klavye çalıyor.,Bir çocuk anahtar tahtası oynuyor.
3.75,0.9797885,Bir adam gitar çalıyor.,Bir adam elektro gitar çalıyor.
4.75,0.933644,Bir köpek bebeği yalar.,Bir köpek bebeği yalıyor.
3.2,0.73624563,Bir kadın soğanı dilimliyor.,Bir adam kesiyor ve soğan.
1.556,0.94487554,Bir adam gitar çalıyor.,Bir adam davul çalıyor.
3.938,0.9006694,Bir kadın biberi dilimliyor.,Bir kadın kırmızı biber kesiyor.
5.0,0.9548128,Bir adam davul çalıyor.,Bir adam davul çalar.
5.0,0.9701668,Bir kadın ata biner.,Bir kadın ata biniyor.
4.0,0.969413,Bir adam ağacın yanında muz yiyor.,Bir adam muz yiyor.
1.6,0.77009296,Bir kedi anahtar tahtası oynuyor.,Bir adam iki klavye çalıyor.
4.75,0.93280417,Bir adam baltayla ağacı keser.,Bir adam baltayla ağaç kesti.
3.5,0.9775022,Bir çocuk oyuncak telefonla oynuyor.,Küçük bir çocuk oyuncak telefonla oynuyor.
1.4,0.77213484,Bir adam motosiklet kullanıyor.,Bir adam ata biniyor.
1.4,0.77213484,Bir adam motosiklet kullanıyor.,Bir adam ata biniyor.
4.0,0.9301288,Bir sincap daireler çiziyor.,Bir sincap daireler çizerek dolaşır.
5.0,0.94493604,Bir erkek ve bir kadın öpüşüyor.,Bir erkek ve kadın öpüşür.
3.833,0.97203434,Bir adam arabaya biniyor.,Bir adam garajda arabaya biniyor.
0.6,0.85448074,Bir adam dans ediyor.,Bir adam konuşuyor.
2.917,0.9320906,Bir adam gitar çalıp şarkı söylüyor.,Bir adam gitar çalıyor.
4.2,0.9632943,Bir insan mantar kesiyor.,Bir insan bıçakla mantar kesiyor.
2.0,0.7838123,Bir kaplan yavrusu ses çıkarıyor.,Etrafta bir kaplan dolaşıyor.
2.6,0.8933264,Bir kişi soğan dilimliyor.,Bir insan soğan soyuyor.
1.6,0.9632192,Bir adam piyano çalıyor.,Bir adam trompet çalıyor.
2.0,0.9353212,Bir kadın patates soyuyor.,Bir kadın bir elmayı soyuyor.
4.2,0.84388596,Bir pankda bambu yiyor.,Bir panda ayı bambu yiyor.
2.0,0.95933324,Bir insan soğan soyuyor.,Bir insan patlıcan soyuyor.
4.8,0.6270412,Bir maymun başka bir maymunu itiyor.,Maymun diğer maymunu itti.
4.4,0.9301288,Bir sincap daireler çizerek dolaşır.,Bir sincap daireler çiziyor.
5.0,0.9586583,Bir adam ayakkabısını bağlıyor.,Bir adam ayakkabısını bağlar.
3.0,0.83560485,Bir çocuk şarkı söylüyor ve piyano çalıyor.,Bir çocuk piyano çalıyor.
4.25,0.7144301,Bir köpek su kavunu yiyor.,Bir köpek karpuz yiyor.
4.25,0.9609895,Bir kadın brokoli kesiyor.,Bir kadın bıçakla brokoli kesiyor.
3.8,0.9692414,Bir adam patates soyuyor.,Bir adam patates soymuş.
2.4,0.90951,Bir kadın gitar çalıyor.,Bir adam gitar çalar.
1.6,0.882607,Bir kadın domatesi dilimliyor.,Bir adam soğanı dilimliyor.
2.0,0.9621731,Bir adam suyun altında yüzüyor.,Bir kadın suyun altında yüzüyor.
1.6,0.94401926,Bir kadın ve bir erkek konuşuyor.,Bir erkek ve bir kadın yemek yiyor.
4.0,0.8347964,Küçük bir köpek yoga toplarını kovalıyor.,Bir köpek topu kovalıyor.
2.2,0.84840745,Adamlar kriket oynuyor.,Adamlar basketbol oynuyor.
4.4,0.9399364,Bir adam motosikletle gidiyor.,Bir adam motosiklete biniyor.
3.6,0.8538673,Bir adam gitar çalıyor.,Bir adam şarkı söylüyor ve gitar çalıyor.
3.6,0.93565977,Adam telefonda konuştu.,Adam telefonda konuşuyor.
0.5,0.80694115,Bir adam balık tutuyor.,Bir erkek egzersiz yapıyor.
0.8,0.96521205,Bir adam havalanıyor.,Bir adam konuşuyor.
0.6,0.862116,İki çocuk kullanıyor.,İki koy dans ediyor.
2.6,0.9326774,Bir adam ata biniyor.,Bir kız ata biniyor.
2.0,0.9288602,Bir adam bisiklete biniyor.,Bir maymun bisiklete biniyor.
2.2,0.910586,Bir adam patates dilimliyor.,Bir kadın patates soyuyor.
2.4,0.895413,Bir kadın patates soyuyor.,Bir adam patatesi dilimliyor.
3.6,0.72186184,Bir adam gitar çalıyor.,Someoen gitar çalıyor.
2.2,0.93993986,Bir kadın pırasa dilimliyor.,Bir kadın zencefil dilimliyor.
4.8,0.97552,Adam bir kağıt tabak kesti.,Bir adam kağıt tabak kesiyor.
1.643,0.7983153,Adam gitar çalıyor.,Bir adam flüt çalıyor.
1.75,0.823857,Bir adam piyano çalıyor.,Adam keman çalıyor.
2.25,0.958258,Bir kadın et dilimliyor.,Bir kadın biraz et ekiyor.
4.0,0.8947343,Bir adam klavyesinde oynuyor.,Bir adam klavye piyanosu çalıyor.
4.8,0.8767689,Bayan yeşil soğanları doğradı.,Bayan yeşil soğanı kesti.
3.2,0.8170331,Birisi suda erişte yiyiyor.,Bir kadın suda erişte kaynatıyor.
4.0,0.93867403,Lionel Richie tavanda dans ediyor.,Lionel Ritchie tavanda dururken dans ediyor.
4.4,0.9427491,Bir adam piyano çalıyor.,Bir insan piyano çalıyor.
4.6,0.9580169,Bir kadın flüt çalıyor.,Bir kadın flüt çalar.
3.8,0.8772835,Bir çocuk bir kalenderi kontrol ediyor.,Bir çocuk takvime bakıyor.
4.8,0.99999994,Bir kadın soğan kesiyor.,Bir kadın soğan kesiyor.
4.857,0.95512855,Bir adam gitar çalıyor.,Bir adam gitar çalar.
5.0,0.9381132,Bir kadın dikiş makinesi kullanıyor.,Bir kadın makineye dikiş dikiyor.
2.533,0.71263033,Bir kadın krep çeviriyor.,Çizgi film şefi krep çeviriyor.
1.0,0.9088042,Yolda koşan bir adam var.,Yolda bir araba var.
1.0,0.7575686,Bir adam ata biniyor.,Bir adam telefonda konuşuyor.
2.0,0.8676253,Bir adam bisiklete biniyor.,Bir adam ata biniyor.
0.143,0.7227695,Bir kadın dans ediyor.,Bir adam yemek yiyor.
2.0,0.92079914,Bir adam piyano çalıyor.,Bir adam flüt çalıyor.
1.6,0.92079914,Bir adam flüt çalıyor.,Bir adam piyano çalıyor.
1.6,0.8445604,Bir adam dönüyor.,Bir adam dans ediyor.
3.4,0.81884885,Bir maymun uzuvdan uzuvlara doğru sallanıyor.,Bir maymun ağaçtan ağaca sallanıyor.
4.0,0.99120504,İnsanlar trenden indi.,İnsanlar istasyonda trenden indi.
4.8,0.9520329,Bir köpek trambolinde zıplıyor.,Trambolinde bir köpek zıplar.
2.5,0.89075506,Bir çocuk enstrüman çalıyor.,Bir adam trompet çalıyor.
1.75,0.820844,Bir kadın gitar çalıyor.,Bir adam şarkı söyledi ve gitar çalıyor.
1.0,0.88791364,Bir kadın bir topuz seçiyor.,Bir kadın domatesi dilimliyor.
5.0,1.0,Bir adam ipe tırmanıyor.,Bir adam ipe tırmanıyor.
1.4,0.894561,Bir adam araba kaldırıyor.,Bir adam duvara tırmanıyor.
4.0,0.85857356,Bir adam ve kadın ciple caddeden geçiyorlar.,Bir kadın ve bir erkek açık hava aracıyla yoldan geçiyorlar.
3.8,0.81412685,Gömleksiz adam sandalyeye oturdu.,Gömleksiz bir adam sandalyede oturuyor.
4.0,0.98396903,İki kadın güreşiyor.,İki kadın yerde güreşiyor.
4.0,0.89927745,Köpek yavrusu mavi tenis topuyla oynadı.,Bir köpek yavrusu tenis topuyla oynuyor.
4.8,0.9190891,Kangroo bir şeyler yiyor.,Bir kanguru yiyor.
0.6,0.85256475,Bir kedi piyano çalıyor.,Bir adam gitar çalıyor.
4.75,0.8781728,Adam bıçakla halı kesmiş.,Bir adam bıçakla halı kesiyor.
2.2,0.9319843,Bir kadın yolda motorlu scooter kullanıyor.,Bir adam motorlu scooter kullanıyor.
3.0,0.84094346,Birisi sebzeyi dilimliyor.,Birisi domatesi dilimliyor.
0.0,0.7600913,Bir kadın dans ediyor.,Bir adam konuşuyor.
2.2,0.97224146,Bir köpek bebeğin salyalarını yalar.,Bir köpek bebeği yalar.
0.4,0.80493855,Bir adam kayıkla kürek çekiyor.,Bir adam domatesi dilimliyor.
4.8,0.9213187,Bir adam patates keser.,Bir adam patates dilimler.
4.8,0.6772046,Bir kadın sarımsak kesiyor.,Kadın sarımsakları doğranıyor.
3.8,0.8963033,Daireler çizerek koşan bir hayvan.,Bir sincap daireler çizerek koşar.
3.0,0.5173482,Bir adam ip köprüsünde yavaşça yürüyor.,Bir çocuk köprüden geçiyor.
4.0,0.9377945,Bir adam gitar çalıyor.,Odada oturan bir adam gitar çalıyor.
5.0,0.96238005,Bir adam flüt çalar.,Bir adam flüt çalıyor.
3.8,0.89361537,Bir kadın cam kaseye iki yumurta kırıyor.,Bir kadın yumurtayı kaseye kırıyor.
3.0,0.9375582,Bir adam balık kesiyor.,Bir adam balık tutar.
4.4,0.4922363,İki adam bavulları bir arabanın bagajına topluyor.,Adamlar arabanın bagajına bavul koyuyorlar.
3.8,0.9018427,Bir adam domateslerin üzerine yağ döküyor.,Adam kesilen domateslerin üzerine yağ döktü.
3.0,0.8732202,Bir adam bir şey dilimliyor.,Bir adam çörek dilimliyor.
0.667,0.61822164,Bir adam kanoyla kürek çekiyor.,Bir adam arp çalıyor.
4.0,0.87535965,Bir kadın ve bir erkek ormanda birlikte yürüyorlar.,Bir erkek ve kadın ormanlık bir alanda kol kola yürüyorlar.
3.75,0.69080126,Kadın kanguruyu aldı.,Bir kadın yavru kanguruyu alır.
4.133,0.71602356,Balıklar yüzüyor.,Bir balık yüzüyor.
4.0,0.95092446,İki kadın bir şeyi mutfak robotunda karıştırır.,İki kadın blenderda bir şeyler yapar.
3.6,0.94433165,Bir insan büyük bir dalgada sörf yapıyor.,Bir insan sörf yapıyor.
1.2,0.8251013,Bir adam gitar çalıyor.,Bir adam hedefi bıçaklıyor.
1.6,0.90277004,Bir adam grupta flüt çalıyor.,Bir adam gitar çalıyor.
4.0,0.68412143,Adam ekmek somunun üzerine tereyağı yayı.,Bir adam ekmeğe tereyağı dökuyor.
4.0,0.8854137,Bir insan erişte kaynatıyor.,Bir kadın suda erişte kaynatıyor.
3.2,0.9804597,Bir grup insan tepede dans ediyor.,Bir grup insan dans ediyor.
1.0,0.7367682,Dışarıda dans eden bir adam var.,Bir adam flüt çalıyor.
1.0,0.44966993,Bir kadın bir erkeği besliyor.,Bir kadın et karıştırıyor.
0.6,0.7754682,Bir adam fırına tava koyuyor.,Bir kadın soğan kesiyor.
0.4,0.7728378,Masada bir kadın oturuyor.,Bir kadın eşeğe biniyor.
3.4,0.87758523,Sağlık görevlileri bir hastayı sedyeyle taşır.,Bir doktor bir hastayı sedyeye bindirir.
3.6,0.78428984,Sahnede flüt çalan bir kadın var.,Kadın flüt çalıyor.
3.0,0.96076417,İki yavru panda oynuyor.,İki panda birlikte yatıyor.
4.0,0.7025932,Bir bebek gülüyor.,Bir bebek gülüyor ve kıkır kıkır gülüyor.
1.2,0.8923629,Bir adam gitar çalıyor.,Bir çocuk piyano çalıyor.
0.6,0.7091404,Bir adam kağıt katlıyor.,Bir kadın biberi dilimliyor.
1.6,0.5960038,Üç kadın dans ediyor.,Adam dans ediyor.
2.6,0.3100197,Kediler birbirleriyle oynuyor.,İki kedi birbiriyle kavga ediyor.
3.6,0.95410275,Bir insan yazıyor.,Bir insan kalemle yazıyor.
3.5,0.900743,Bir adam kaçıyor.,Bir adam yolda koşuyor.
3.765,0.49280837,Kadın para yuvarlanıyor.,Bir kadın hamur unu ve yuvarlanıyor.
2.75,0.7091031,Bir kadın etin üzerine baharat ekliyor.,Kadın ete şeker ekliyor.
2.25,0.6210176,Bir kadın balıklara yağ ekliyor.,Bir kadın balığa su döküyor.
2.75,0.91287756,Genç bir çocuk elinde gitar tutuyor.,Küçük bir çocuk gitar çalıyor.
3.8,0.96023357,Bir çita koşuyor.,Bir çita tarlada koşuyor.
4.8,0.7645598,Adam pizza yiyor.,Bir adam bir dilim pizza yiyor.
3.6,0.77418536,Orangutan otobüse biniyor.,Bir maymun otobüse biniyor.
1.2,0.93088657,Bir erkek ve bir kadın lokantada konuşurlar.,Bir adam ve bir kadın bisiklete biniyor.
0.4,0.7520883,Bir adam gitar çalıyor.,Bir adam cam kapıyı temizliyor.
2.4,0.8468128,Bir kız şarkı söylüyor ve gitar çalıyor.,Genç bir adam gitar çalarken şarkı söylüyor.
3.941,0.9260314,Bir kız işaret diliyle iletişim kuruyor.,Genç bir kız işaret dili kullanıyor.
0.5,0.873334,Bir kadın ağırlık egzersizleri yapıyor.,Bir kadın saçını yapıyor.
3.75,0.9555157,Bir adam arabaya biniyor.,Yaşlı bir adam kırmızı bir arabaya biniyor.
4.0,0.96090835,Büyük yeşil bir top patatesi devirr.,Büyük yeşil bir top patatese çarpar.
3.0,0.9513179,Bir kedi klavye çalıyor.,Bir kedi piyano çalıyor.
4.2,0.39026108,İki köpek havuzda yüzüyor.,Köpekler havuzda yüzüyor.
2.0,0.92243904,Adam soğanı doğramak için helikopter kullanmış.,Adam patatesi doğramak için makine kullanmıştır.
5.0,0.9385074,Bir kadın tofu dilimler.,Bir kadın tofu kesiyor.
3.0,0.8654384,Bir geyik sürüleri karşıdan karşıya geçiyor.,Bir karibu sürüleri yolun karşısına geçiyor.
3.8,0.72904855,O kişi ata biniyor.,Bir adam ata biniyor.
0.0,0.53165126,Biri bir hayvanı besliyor.,Birisi piyano çalıyor.
0.0,0.3700199,Birisi Tortila'nınkini dilimliyor.,Birisi ata biniyor.
0.25,0.25648096,Birisi az kalanları karıştırıyor.,Birileri bir şeyler dikiyor.
4.0,0.9685282,Bir horoz ölü bir fareyi gagalar.,Bir tavuk ölü bir fareyi gagalıyor.
3.25,0.91861117,Bir kadın kanguru tutar.,Bir kadın kanguru alıyor.
0.75,0.84227926,Bir adam kurbağalarla oynuyor.,Bir kedi kamerayla oynuyor.
1.5,0.94829106,İki adam konuşuyor.,İki adam gitar çalıyor.
3.5,0.92635125,Bir adam büyük bir parça ekmeğe tereyağı yayar.,Bir adam bir dilim sarımsaklı ekmeğe tereyağı sürüyor.
3.0,0.8137092,Bir adam yüksek bir kablodan geçiyor.,Bir adam iple koşuyor.
0.2,0.7014365,Bir adam çim biçiyor.,Bir kadın limon kesiyor.
0.8,0.81433374,Bir adam kapıyı açıyor.,Bir adam gitar çalıyor.
4.2,0.9179013,Bir adam patatesi parçalara ayırıyor.,Bir adam patates kesiyor.
3.8,0.76414084,Kadın pişmiş ahtapotu kesiyor.,Bir kadın ahtapot kesiyor.
0.4,0.77069926,Bir adam tahtaları yumruklıyor.,Bir köpek suyun içinde koşuyor.
0.8,0.7737452,Bir adam dans ediyor.,Bir adam ekmek yiyor.
1.2,0.72271186,Birisi piyano çalıyor.,Bir adam gitar çalıyor.
2.8,0.47254536,İki tilki tuğla verandadaki tabaktan yiyor.,Tilkiler tabaktan yiyor.
3.2,0.83278084,Bir çocuk anahtar tahtası oynuyor.,Bir çocuk piyano çalıyor.
5.0,0.6940611,Bir insan klavye çalar.,Birisi klavye çalıyor.
0.0,0.8487512,Bir adam ateş ediyor.,Bir adam tükürüyor.
1.0,0.5760694,Birisi soğanı dilimliyor.,Someoen patates soyuyor.
0.0,0.41999403,Bir adam yüzüyor.,Bir kadın et dilimliyor.
3.75,0.9350033,Bir adam gitar çalıyor.,Bir adam akustik gitar çalar.
0.4,0.7883723,Bir kadın balkabağını dilimliyor.,Bir kadın fil sürüyor.
0.4,0.76542753,Bir kadın dans ediyor.,Bir kadın hamur yoğuruyor.
0.6,0.7121382,Bir kadın yumurtaları bir kaseye dönüştürüyor.,Bir kadın rafa şiş koyuyor.
4.0,0.9016699,Bir araba yolda ilerliyor.,Yolda bir araba var.
0.4,0.37027395,Birisi tava yağlıyor.,Smeone yatıyor.
0.4,0.828265,Bir adam gitar çalıyor.,Bir adam makarnayı boşaltıyor.
0.4,0.79497296,Bir kadın votka içiyor.,Bir kadın egzersiz yapıyor.
4.8,0.59477335,Bir kadın eti parçalara ayırıyor.,Bir kadın biraz et kesiyor.
0.6,0.8318882,Bir adam bifteği durulıyor.,Bir adam gitar çalıyor.
0.8,0.76537466,Bir adam ürün satıyor.,Bir adam evi temizliyor.
3.2,0.90946007,Bir adam duvardan atlıyor.,Bir adam kısa bir duvara atlar.
3.2,0.8961875,Koşucular bir pistin etrafında yarışırlar.,Koşucular bir yarışta yarışırlar.
0.6,0.8664535,Bir adam futbol toplarını tekmeliyor.,Bir adam kaseyi karıştırıyor.
0.6,0.71044856,Bir kadın bir şeyler kızartıyor.,Bir kadın ata biniyor.
0.0,0.7777627,Bir kedi enayiyi yalıyor.,Bir kadın salatalık dolanıyor.
1.4,0.79780686,Bir kadın ateşin yanında dans ediyor.,Bir kadın banyo yaptırıyor.
2.2,0.89022577,Adam bir balığı açıyor.,Bir adam patatesi dilimliyor.
3.6,0.7009778,Tereyağı tavada eriyor.,Bir adam tavada tereyağı eritiyor.
3.111,0.589992,Üç çocuk dans ediyor.,Çocuklar dans ediyor.
0.6,0.8152473,Bir kadın bir erkekle oyun oynuyor.,Bir adam piyano çalıyor.
0.4,0.85237736,Adam beyaz bir araba kullanıyor.,Bir adam röportaj veriyor.
4.25,0.9525613,Bir adam arabasını kullandı.,Bir adam araba kullanıyor.
3.0,0.90252095,Bir araba boşluktan geri döner.,Bir araba trafiğe kapalı şeritten geri geri çıkıyor.
5.0,0.79171515,Bir adam pizzaya peynir koyar.,Adam pizzaya peynir serpti.
5.0,0.77152896,Çocuk piyano çalıyor.,Bir çocuk piyano çalar.
3.75,0.7524464,Adam gitarını çaldı.,Bir adam gitar çalıyor.
0.2,0.71431935,Bir adam ata biniyor.,Bir adam klavye çalıyor.
0.4,0.49885026,Bir adam ip üzerinde yürüyor.,Bir adam mo-pad kullanıyor.
1.286,0.75046825,Bir kız flüt çalıyor.,Sahnede bir grup çalıyor.
4.6,0.43706152,İnsanlar trenden inip.,Bir grup insan trenden inip inip indir.
0.6,0.40220755,Bir kadın makineye dikiş dikiyor.,Bir kadın biraz et ekiyor.
2.0,0.88283867,Bir köpek yüzme havuzuna bakıyor.,Bir köpek havuzda dolaşıyor.
5.0,0.88522166,Bir adam bir parça ekmeğe yağ çeker.,Bir adam ekmeğe tereyağı uyguluyor.
1.8,0.8337606,Bir adam domatesleri parçalara ayırıyor.,Bir kadın sebze kesiyor.
2.4,0.68678564,Üç genç kız odada dans etti.,Bazı genç kızlar kamera için dans ediyor.
2.4,0.78682536,Bir aslan yürüyor.,Bir aslan kalemde volta atıyor.
0.4,0.8087127,Arabayla ateş eden bir adam.,Bir adam patates kesiyor.
4.2,0.860526,Siyah bir at etrafta koşturuyor.,At koşuyor.
0.0,0.7514065,Bir kadın karidesi yutmuş.,Bir adam yağmurda dans ediyor.
0.0,0.6405539,Bir adam ata biniyor.,Bir kadın dondurucu yıkıyor.
0.8,0.7619354,Bir adam patikadan aşağı iner.,Bir adam sıkı bir iple yürüyor.
1.4,0.86666876,Bir adam patatesi dilimliyor.,Bir kadın jalepeno kesiyor.
1.5,0.800968,Bir köpek topa havlıyor.,Bir köpek tenis topundan sonra yüzer.
2.5,0.9217374,Bir çocuk oltada sallanan bir balıktan kaçar.,Küçük bir çocuk bir oltanın etrafında koşuyor.
2.5,0.9082978,Bir adam vahşi doğada bir patikada yürüyor.,Bir adam yolda yürüyor.
3.5,0.9222383,Yaşlı bir adam podyumda konuşuyor.,Bir adam podyumda konuşma yapıyor.
3.4,0.9291379,Ağır çekimde ata binen bir adam.,Bir adam ata biniyor.
3.8,0.6316621,Bir insan burrata peyniri kesiyor.,Kişi peynir dilimliyor.
3.8,0.8522781,Adam otomatik tüfekle ateş ediyor.,Bir adam ateş ediyor.
1.5,0.5023931,Bir adam bıçağın arkası ile sarımsak eziyor.,Bir kadın bıçakla et dilimliyor.
0.5,0.7844039,Bir kadın tırnaklarını zımpara tahtasıyla törpulatır.,Bir kadın bebeğini biberonla besliyor.
0.0,0.8348571,Bir adam kaykay kullanıyor.,Bir kadın patates kesiyor.
0.0,0.61593753,Bir kadın duş alıyor.,Bir adam beyaz bir ata biniyor.
0.8,0.7043419,Bir adam dans ediyor.,Bir adam ata biniyor.
0.85,0.76980263,Bir adam kayıkla kürek çekiyor.,Bir adam ateş ediyor.
3.4,0.61014473,Bir adam tavana bağlı bir ipten sallanıyor.,Bir adam ip üzerinde sallanıyor.
0.4,0.74741435,Bir kadın sahilde ata biniyor.,Bir adam sırtında başka bir adam taşıyor.
1.75,0.9635799,Bir adam küçük bir hayvanı bir elinde tutar.,Bir adam küçük bir maymunu gösterir.
3.25,0.888972,Bir kişi kare bir kağıt parçasını katlıyor.,Bir adam kağıt katlıyor.
0.75,0.48267183,Bir insan tavada et kızartıyor.,Bir insan elinde bir kokarca tutuyor.
0.0,0.8139466,Bir şempanze bir kadına zarar veriyor.,Bir adam araba kullanıyor.
0.0,0.5825188,Kadın karides soyuyor.,Adam elinde lemur tutuyor.
4.25,0.1600301,İki zebra oynuyor.,Zebralar sosyalleşiyor.
1.8,0.87175405,Bir kadın tereyağını dilimliyor.,Bir kadın tofu dilimler.
3.2,0.58855104,Bazı adamlar gitar çalıyor.,Üç adam gitar çalıp birlikte şarkı söylüyor.
3.6,0.9569188,Filler kendi üzerlerine su sıktılar.,Filler kendilerine su püskürtürler.
2.6,0.63780534,Bir köpek bir mağazanın tezgahına oturdu.,Köpek tezgahın başında duruyor.
3.2,0.83544075,Birisi elektrikli matkapla tahta şeritte delik açsa.,Bir adam tahta parçasında delik açar.
2.8,0.630906,Bir kadın sebze dilimliyor.,Kadın sarımsakları doğranıyor.
4.6,0.8407752,Bir porsuk bir delik açarak.,Bir porsuk toprağı kazıyor.
0.0,0.51908875,Bir kadın gölde su kayağı yapıyor.,Bir adam flüt çalıyor.
0.25,0.507927,Bir kız keman çalıyor.,Bir bebek gülüyor ve kıkır kıkır gülüyor.
3.923,0.6157644,Helikopter pistine helikopter iniyor.,Bir helikopter iniyor.
2.75,0.49731266,Bir kadın tavuğu kesiyor.,Bir kadın et dilimliyor.
0.0,0.7870648,Bir kadın salatalık kesiyor.,Bir adam gitar çalıyor.
3.0,0.8600332,"Bir kadın, hayran bir kalabalığın önünde bir fil sürer.",Bir kadın fillere biner.
3.8,0.9207891,Bir köpek yavrusu zemin boyunca geriye doğru kayıyor.,Bir köpek yavrusu kendini geriye doğru itiyor.
4.6,0.8392535,Bir kadın sarımsak karanfillerini böler.,Bir kadın sarımsak başını karanfile kırıyor.
2.6,0.8817023,Bir köpek yüzme havuzuna bakıyor.,Bir köpek havuzun kenarında yürüyor.
3.6,0.8449426,Bir kadın bir bardakta güzellik bakımı karıştırır.,Bir kadın bardaktaki kremayı kaşıkla karıştırıyor.
3.6,0.9456927,Bir adam resim çiziyor.,Bir insan resim çiziyor.
1.0,0.8111338,Bir kadın domates topluyor.,Bir kadın kaseye hamur döküyor.
2.75,0.92561376,Bir adam bilgisayar monitörüne bakıyor.,Bir adam dizüstü bilgisayar kullanıyor.
